market_open,market_close,market_date,market_date_ts,market_open_ts,market_close_ts,day,month,year,day_of_week_str,day_of_week,half_day,is_earnings_season,is_last_trading_of_month,is_options_expiration
09:30:00,16:00:00,2020-08-06,1596686400.0,1596720600.0,1596744000.0,6,8,2020,Thursday,3,0,1,0,0
09:30:00,16:00:00,2020-08-07,1596772800.0,1596807000.0,1596830400.0,7,8,2020,Friday,4,0,1,0,0
09:30:00,16:00:00,2020-08-10,1597032000.0,1597066200.0,1597089600.0,10,8,2020,Monday,0,0,1,0,0
09:30:00,16:00:00,2020-08-11,1597118400.0,1597152600.0,1597176000.0,11,8,2020,Tuesday,1,0,1,0,0
09:30:00,16:00:00,2020-08-12,1597204800.0,1597239000.0,1597262400.0,12,8,2020,Wednesday,2,0,1,0,0
09:30:00,16:00:00,2020-08-13,1597291200.0,1597325400.0,1597348800.0,13,8,2020,Thursday,3,0,1,0,0
09:30:00,16:00:00,2020-08-14,1597377600.0,1597411800.0,1597435200.0,14,8,2020,Friday,4,0,1,0,0
09:30:00,16:00:00,2020-08-17,1597636800.0,1597671000.0,1597694400.0,17,8,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-08-18,1597723200.0,1597757400.0,1597780800.0,18,8,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-08-19,1597809600.0,1597843800.0,1597867200.0,19,8,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-08-20,1597896000.0,1597930200.0,1597953600.0,20,8,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-08-21,1597982400.0,1598016600.0,1598040000.0,21,8,2020,Friday,4,0,0,0,1
09:30:00,16:00:00,2020-08-24,1598241600.0,1598275800.0,1598299200.0,24,8,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-08-25,1598328000.0,1598362200.0,1598385600.0,25,8,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-08-26,1598414400.0,1598448600.0,1598472000.0,26,8,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-08-27,1598500800.0,1598535000.0,1598558400.0,27,8,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-08-28,1598587200.0,1598621400.0,1598644800.0,28,8,2020,Friday,4,0,0,0,0
09:30:00,16:00:00,2020-08-31,1598846400.0,1598880600.0,1598904000.0,31,8,2020,Monday,0,0,0,1,0
09:30:00,16:00:00,2020-09-01,1598932800.0,1598967000.0,1598990400.0,1,9,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-09-02,1599019200.0,1599053400.0,1599076800.0,2,9,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-09-03,1599105600.0,1599139800.0,1599163200.0,3,9,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-09-04,1599192000.0,1599226200.0,1599249600.0,4,9,2020,Friday,4,0,0,0,0
09:30:00,16:00:00,2020-09-08,1599537600.0,1599571800.0,1599595200.0,8,9,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-09-09,1599624000.0,1599658200.0,1599681600.0,9,9,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-09-10,1599710400.0,1599744600.0,1599768000.0,10,9,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-09-11,1599796800.0,1599831000.0,1599854400.0,11,9,2020,Friday,4,0,0,0,0
09:30:00,16:00:00,2020-09-14,1600056000.0,1600090200.0,1600113600.0,14,9,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-09-15,1600142400.0,1600176600.0,1600200000.0,15,9,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-09-16,1600228800.0,1600263000.0,1600286400.0,16,9,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-09-17,1600315200.0,1600349400.0,1600372800.0,17,9,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-09-18,1600401600.0,1600435800.0,1600459200.0,18,9,2020,Friday,4,0,0,0,1
09:30:00,16:00:00,2020-09-21,1600660800.0,1600695000.0,1600718400.0,21,9,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-09-22,1600747200.0,1600781400.0,1600804800.0,22,9,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-09-23,1600833600.0,1600867800.0,1600891200.0,23,9,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-09-24,1600920000.0,1600954200.0,1600977600.0,24,9,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-09-25,1601006400.0,1601040600.0,1601064000.0,25,9,2020,Friday,4,0,0,0,0
09:30:00,16:00:00,2020-09-28,1601265600.0,1601299800.0,1601323200.0,28,9,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-09-29,1601352000.0,1601386200.0,1601409600.0,29,9,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-09-30,1601438400.0,1601472600.0,1601496000.0,30,9,2020,Wednesday,2,0,0,1,0
09:30:00,16:00:00,2020-10-01,1601524800.0,1601559000.0,1601582400.0,1,10,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-10-02,1601611200.0,1601645400.0,1601668800.0,2,10,2020,Friday,4,0,0,0,0
09:30:00,16:00:00,2020-10-05,1601870400.0,1601904600.0,1601928000.0,5,10,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-10-06,1601956800.0,1601991000.0,1602014400.0,6,10,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-10-07,1602043200.0,1602077400.0,1602100800.0,7,10,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-10-08,1602129600.0,1602163800.0,1602187200.0,8,10,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-10-09,1602216000.0,1602250200.0,1602273600.0,9,10,2020,Friday,4,0,0,0,0
09:30:00,16:00:00,2020-10-12,1602475200.0,1602509400.0,1602532800.0,12,10,2020,Monday,0,0,0,0,0
09:30:00,16:00:00,2020-10-13,1602561600.0,1602595800.0,1602619200.0,13,10,2020,Tuesday,1,0,0,0,0
09:30:00,16:00:00,2020-10-14,1602648000.0,1602682200.0,1602705600.0,14,10,2020,Wednesday,2,0,0,0,0
09:30:00,16:00:00,2020-10-15,1602734400.0,1602768600.0,1602792000.0,15,10,2020,Thursday,3,0,0,0,0
09:30:00,16:00:00,2020-10-16,1602820800.0,1602855000.0,1602878400.0,16,10,2020,Friday,4,0,1,0,1
09:30:00,16:00:00,2020-10-19,1603080000.0,1603114200.0,1603137600.0,19,10,2020,Monday,0,0,1,0,0
09:30:00,16:00:00,2020-10-20,1603166400.0,1603200600.0,1603224000.0,20,10,2020,Tuesday,1,0,1,0,0
09:30:00,16:00:00,2020-10-21,1603252800.0,1603287000.0,1603310400.0,21,10,2020,Wednesday,2,0,1,0,0
09:30:00,16:00:00,2020-10-22,1603339200.0,1603373400.0,1603396800.0,22,10,2020,Thursday,3,0,1,0,0
09:30:00,16:00:00,2020-10-23,1603425600.0,1603459800.0,1603483200.0,23,10,2020,Friday,4,0,1,0,0
09:30:00,16:00:00,2020-10-26,1603684800.0,1603719000.0,1603742400.0,26,10,2020,Monday,0,0,1,0,0
